Scarab gitrev: 3541854
Scarab started at Fri Nov  1 12:37:58 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (6.99 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 6.17 KIPS (6.56 KIPS)
** Heartbeat:  15% -- { 3000000 } -- 6.21 KIPS (6.44 KIPS)
** Heartbeat:  20% -- { 4000000 } -- 6.25 KIPS (6.39 KIPS)
** Heartbeat:  25% -- { 5000000 } -- 6.21 KIPS (6.35 KIPS)
** Heartbeat:  30% -- { 6000000 } -- 6.21 KIPS (6.33 KIPS)
** Heartbeat:  35% -- { 7000000 } -- 6.13 KIPS (6.30 KIPS)
** Heartbeat:  40% -- { 8000000 } -- 6.25 KIPS (6.29 KIPS)
** Heartbeat:  45% -- { 9000000 } -- 6.33 KIPS (6.30 KIPS)
** Heartbeat:  50% -- { 10000000 } -- 6.49 KIPS (6.32 KIPS)
** Heartbeat:  55% -- { 11000000 } -- 6.21 KIPS (6.31 KIPS)
** Heartbeat:  60% -- { 12000000 } -- 6.25 KIPS (6.30 KIPS)
** Heartbeat:  65% -- { 13000000 } -- 6.54 KIPS (6.32 KIPS)
** Heartbeat:  70% -- { 14000000 } -- 7.04 KIPS (6.37 KIPS)
** Heartbeat:  75% -- { 15000000 } -- 6.29 KIPS (6.36 KIPS)
** Heartbeat:  80% -- { 16000000 } -- 6.41 KIPS (6.36 KIPS)
** Heartbeat:  85% -- { 17000000 } -- 6.25 KIPS (6.36 KIPS)
** Heartbeat:  90% -- { 18000005 } -- 6.33 KIPS (6.36 KIPS)
** Heartbeat:  95% -- { 19000009 } -- 6.37 KIPS (6.36 KIPS)
** Core 0 Finished:    insts:20000000    cycles:20723919    time:6476224687500       -- 0.97 IPC (0.97 IPC) --  N/A  KIPS (6.36 KIPS)
Scarab finished at Fri Nov  1 13:30:21 2024

