Scarab gitrev: 3541854
Scarab started at Fri Nov  1 13:30:22 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (6.10 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 5.13 KIPS (5.57 KIPS)
** Heartbeat:  15% -- { 3000000 } -- 5.26 KIPS (5.46 KIPS)
** Heartbeat:  20% -- { 4000000 } -- 5.26 KIPS (5.41 KIPS)
** Heartbeat:  25% -- { 5000000 } -- 5.21 KIPS (5.37 KIPS)
** Heartbeat:  30% -- { 6000000 } -- 5.29 KIPS (5.36 KIPS)
** Heartbeat:  35% -- { 7000000 } -- 5.24 KIPS (5.34 KIPS)
** Heartbeat:  40% -- { 8000000 } -- 5.26 KIPS (5.33 KIPS)
** Heartbeat:  45% -- { 9000000 } -- 5.18 KIPS (5.31 KIPS)
** Heartbeat:  50% -- { 10000000 } -- 5.29 KIPS (5.31 KIPS)
** Heartbeat:  55% -- { 11000000 } -- 5.21 KIPS (5.30 KIPS)
** Heartbeat:  60% -- { 12000000 } -- 5.21 KIPS (5.29 KIPS)
** Heartbeat:  65% -- { 13000000 } -- 5.26 KIPS (5.29 KIPS)
** Heartbeat:  70% -- { 14000000 } -- 5.43 KIPS (5.30 KIPS)
** Heartbeat:  75% -- { 15000000 } -- 5.43 KIPS (5.31 KIPS)
** Heartbeat:  80% -- { 16000000 } -- 5.35 KIPS (5.31 KIPS)
** Heartbeat:  85% -- { 17000000 } -- 5.38 KIPS (5.32 KIPS)
** Heartbeat:  90% -- { 18000000 } -- 5.41 KIPS (5.32 KIPS)
** Heartbeat:  95% -- { 19000000 } -- 5.46 KIPS (5.33 KIPS)
** Heartbeat: 100% -- { 20000000 } -- 5.35 KIPS (5.33 KIPS)
** Core 0 Finished:    insts:20000000    cycles:20337878    time:6355586875000       -- 0.98 IPC (0.98 IPC) --  N/A  KIPS (5.33 KIPS)
Scarab finished at Fri Nov  1 14:32:56 2024

