Scarab gitrev: 3541854
Scarab started at Fri Nov  1 13:49:07 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (21.28 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 21.74 KIPS (21.51 KIPS)
** Heartbeat:  15% -- { 3000003 } -- 20.83 KIPS (21.28 KIPS)
** Heartbeat:  20% -- { 4000004 } -- 18.18 KIPS (20.41 KIPS)
** Heartbeat:  25% -- { 5000008 } -- 20.00 KIPS (20.33 KIPS)
** Heartbeat:  30% -- { 6000008 } -- 18.52 KIPS (20.00 KIPS)
** Heartbeat:  35% -- { 7000011 } -- 18.18 KIPS (19.72 KIPS)
** Heartbeat:  40% -- { 8000013 } -- 23.26 KIPS (20.10 KIPS)
** Heartbeat:  45% -- { 9000017 } -- 20.00 KIPS (20.09 KIPS)
** Heartbeat:  50% -- { 10000018 } -- 20.41 KIPS (20.12 KIPS)
** Heartbeat:  55% -- { 11000018 } -- 16.39 KIPS (19.71 KIPS)
** Heartbeat:  60% -- { 12000018 } -- 25.00 KIPS (20.07 KIPS)
** Heartbeat:  65% -- { 13000018 } -- 20.41 KIPS (20.09 KIPS)
** Heartbeat:  70% -- { 14000019 } -- 19.23 KIPS (20.03 KIPS)
** Heartbeat:  75% -- { 15000023 } -- 21.28 KIPS (20.11 KIPS)
** Heartbeat:  80% -- { 16000026 } -- 18.18 KIPS (19.98 KIPS)
** Heartbeat:  85% -- { 17000026 } -- 22.73 KIPS (20.12 KIPS)
** Heartbeat:  90% -- { 18000026 } -- 19.23 KIPS (20.07 KIPS)
** Heartbeat:  95% -- { 19000026 } -- 19.23 KIPS (20.02 KIPS)
** Core 0 Finished:    insts:20000000    cycles:12164707    time:3801470937500       -- 1.64 IPC (1.64 IPC) --  N/A  KIPS (19.76 KIPS)
Scarab finished at Fri Nov  1 14:05:59 2024

