Scarab gitrev: 3541854
Scarab started at Fri Nov  1 15:20:27 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000004 } -- 0.00 KIPS (22.22 KIPS)
** Heartbeat:  10% -- { 2000007 } -- 22.22 KIPS (22.22 KIPS)
** Heartbeat:  15% -- { 3000010 } -- 27.03 KIPS (23.62 KIPS)
** Heartbeat:  20% -- { 4000011 } -- 37.04 KIPS (25.97 KIPS)
** Heartbeat:  25% -- { 5000011 } -- 12.35 KIPS (21.28 KIPS)
** Heartbeat:  30% -- { 6000011 } -- 13.16 KIPS (19.29 KIPS)
** Heartbeat:  35% -- { 7000011 } -- 24.39 KIPS (19.89 KIPS)
** Heartbeat:  40% -- { 8000014 } -- 26.32 KIPS (20.51 KIPS)
** Heartbeat:  45% -- { 9000015 } -- 34.48 KIPS (21.48 KIPS)
** Heartbeat:  50% -- { 10000015 } -- 15.38 KIPS (20.66 KIPS)
** Heartbeat:  55% -- { 11000020 } -- 10.10 KIPS (18.87 KIPS)
** Heartbeat:  60% -- { 12000020 } -- 25.00 KIPS (19.26 KIPS)
** Heartbeat:  65% -- { 13000022 } -- 26.32 KIPS (19.67 KIPS)
** Heartbeat:  70% -- { 14000024 } -- 41.67 KIPS (20.44 KIPS)
** Heartbeat:  75% -- { 15000029 } -- 22.73 KIPS (20.58 KIPS)
** Heartbeat:  80% -- { 16000031 } -- 8.33 KIPS (18.85 KIPS)
** Heartbeat:  85% -- { 17000031 } -- 24.39 KIPS (19.10 KIPS)
** Heartbeat:  90% -- { 18000034 } -- 27.78 KIPS (19.44 KIPS)
** Heartbeat:  95% -- { 19000035 } -- 40.00 KIPS (19.98 KIPS)
** Core 0 Finished:    insts:20000000    cycles:14542918    time:4544661875000       -- 1.38 IPC (1.38 IPC) --  N/A  KIPS (20.12 KIPS)
Scarab finished at Fri Nov  1 15:37:02 2024

