Scarab gitrev: 3541854
Scarab started at Fri Nov  1 16:24:11 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000005 } -- 0.00 KIPS (30.30 KIPS)
** Heartbeat:  10% -- { 2000010 } -- 34.48 KIPS (32.26 KIPS)
** Heartbeat:  15% -- { 3000013 } -- 24.39 KIPS (29.13 KIPS)
** Heartbeat:  20% -- { 4000015 } -- 27.78 KIPS (28.78 KIPS)
** Heartbeat:  25% -- { 5000019 } -- 25.00 KIPS (27.93 KIPS)
** Heartbeat:  30% -- { 6000020 } -- 29.41 KIPS (28.17 KIPS)
** Heartbeat:  35% -- { 7000022 } -- 27.78 KIPS (28.11 KIPS)
** Heartbeat:  40% -- { 8000024 } -- 27.03 KIPS (27.97 KIPS)
** Heartbeat:  45% -- { 9000027 } -- 21.28 KIPS (27.03 KIPS)
** Heartbeat:  50% -- { 10000028 } -- 20.83 KIPS (26.25 KIPS)
** Heartbeat:  55% -- { 11000028 } -- 23.81 KIPS (26.00 KIPS)
** Heartbeat:  60% -- { 12000031 } -- 28.57 KIPS (26.20 KIPS)
** Heartbeat:  65% -- { 13000031 } -- 34.48 KIPS (26.69 KIPS)
** Heartbeat:  70% -- { 14000031 } -- 45.45 KIPS (27.50 KIPS)
** Heartbeat:  75% -- { 15000036 } -- 43.48 KIPS (28.20 KIPS)
** Heartbeat:  80% -- { 16000041 } -- 50.00 KIPS (28.99 KIPS)
** Heartbeat:  85% -- { 17000041 } -- 47.62 KIPS (29.67 KIPS)
** Heartbeat:  90% -- { 18000041 } -- 66.67 KIPS (30.61 KIPS)
** Heartbeat:  95% -- { 19000041 } -- 90.91 KIPS (31.72 KIPS)
** Core 0 Finished:    insts:20000002    cycles:16012488    time:5003902500000       -- 1.25 IPC (1.25 IPC) --  N/A  KIPS (32.79 KIPS)
Scarab finished at Fri Nov  1 16:34:22 2024

